PMID,PMCID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,NIHMS ID,Open Source?,DOI,Is this DTI?,"Which imaging modality was used? e.g electroencephalogram (EEG), Positron emission tomography (PET), Anatomical MRI, fMRI, diffusion MRI (dMRI) etc",Is this a single study or a review?,Human study or not?,"Does this study dementia, alzheimers, or related disease? 
",Which one?,What tracts were studied?,"How are results presented? T-tests, beta effect sizes, ANOVA, Chi test, regression etc","What analysis software libraries are being used e.g dipy.org, fsl, freesurfer, PRIDE ..?","What was the diffusion measure e.g Fractional Anisotropy (FA), Mean Diffusivity (MD), Axial diffusivity (AD), Radial diffusivity (RD)?","Were increases or decreases in WM integrity reported relative to the disease population? Eg: AD> HC= RD increase (Corpus Callosum, Cingulum) , AD<HC = FA decreases (cingulum). If Column T is NA enter NA here. (What it means, comparing Alzheimer's disease with Health Control, there was increase in Radial diffusivity in the Corpus Callosum and Cingulum white matter tracts, etc).",Group Difference Explored e.g AD (Alzheimer) vs HC (Health Control)?,"Brain Template/ Space e.g MNI, JHU","Do they present results using x,y,z coordinates?",Other notes
37940789,PMC10828179,Lateralized brunt of sleep deprivation on white matter injury in a rat model of Alzheimer's disease,"Mao X, Han D, Guo W, Zhang W, Wang H, Zhang G, Zhang N, Jin L, Nie B, Li H, Song Y, Wu Y, Chang L.",Geroscience. 2024 Apr;46(2):2295-2315. doi: 10.1007/s11357-023-01000-3. Epub 2023 nov 9.,Mao X,Geroscience,2024,11/8/23,,no,10.1007/s11357-023-01000-3,yes,"dMRI, PET",Single study,no,yes,Alzheimers Disease,Na,"Paired Two-sample t-tests, GLM, One way ANOVA with Turkey’s multiple comparison test","SPM12, DARTEL (SPM), FSL, Diffusion Toolkit v0.6.3, TrackVis/TractVis, ImageJ","FA, MD, AD, RD","SA < HC = FA, AD decrease (bilateral hippocampal tracts, right mPFC, Anterior Commisure, Forceps Minor, Cingulum); SD < HC = FA decrease right-sided mPFC","Yes: 3 groups,  Con = Control group,  SA = sleep deprivation plus AβO injection, SD = Sleep deprivation without injection group","Paxinos & Watson stereotaxic space (rodent EPI-template), DARTEL/SPM",no,"Studies rats,  sleep deprivation + AβO (SA) produces asymmetric (mostly right side) reductions in FA and alterations in ADC/AxD/RD -- -- also did transmission electron microscopy with G values"
34902714,PMC8672096,White matter microstructure associations to amyloid burden in adults with Down syndrome,"Bazydlo AM, Zammit MD, Wu M, Lao PJ, Dean DC 3rd, Johnson SC, Tudorascu DL, Cohen A, Cody KA, Ances B, Laymon CM, Klunk WE, Zaman S, Handen BL, Hartley SL, Alexander AL, Christian BT.",Neuroimage Clin. 2022;33:102908. doi: 10.1016/j.nicl.2021.102908. Epub 2021 Dec 10.,Bazydlo AM,Neuroimage Clin,2022,12/13/21,,yes,10.1016/j.nicl.2021.102908,yes,"dMRI, PET",Single study,yes,yes,Alzheimers Disease,"Corpus Callosum - Genu, Superior Longitudinal Fasciculus, Inferior Longitudinal Fasciculus, Fornix",Generalized linear models,"FSL, MRTrix3, DiPy toolbox","FA, MD",FA decrease and MD increase,no,"robust estimator method, RESTORE",no,down syndrome related to AD?
26792028,PMC5363752,White matter hyperintensity microstructure in amyloid dysmetabolism,"Kalheim LF, Bjørnerud A, Fladby T, Vegge K, Selnes P.",J Cereb Blood Flow Metab. 2017 Jan;37(1):356-365. doi: 10.1177/0271678X15627465. Epub 2016 Jan 20.,Kalheim LF,J Cereb Blood Flow Metab,2017,1/22/16,,no,10.1177/0271678X15627465,yes,dMRI,Single study,yes,yes,Mild Cognitive Impairment,"Cingulum, Global","χ2 , independent-samples T-test (significance p=0.05), Mann–Whitney U-test, linear regression","FMRIB version 5.0,  FreeSurfer 5.3.0,","FA, radial diffusivity (RD), MD, AD","Low CSF > Normal CSF = MD, RD, AD increase in Low CSF individuals (WMH)-- no Significant difference in FA overall ROIs, cingulum does not show signifacant difference","Yes: 2 groups, Low CSF, Normal CSF",JHU,no,
10582990,,Clinical severity in CADASIL related to ultrastructural damage in white matter: in vivo study with diffusion tensor MRI,"Chabriat H, Pappata S, Poupon C, Clark CA, Vahedi K, Poupon F, Mangin JF, Pachot-Clouard M, Jobert A, Le Bihan D, Bousser MG.",Stroke. 1999 Dec;30(12):2637-43. doi: 10.1161/01.str.30.12.2637.,Chabriat H,Stroke,1999,12/3/99,,,10.1161/01.str.30.12.2637,yes,dMRI,Single study,yes,yes,"CADASIL, Mild Cognitive Impairment",Na,"Student unpaired t test, χ2 test, simple regression, 1-way AnoVA, ANCOVA","in-house segmentation tool, diffusion tensor parameters were calculated on a pixel by pixel basis as described by Basser et al (Basser P, Mattiello J, Le Bihan D. Estimation of the effective self-diffusion-tensor from the NMR spin echo. J Magn Reson. 1994;103:247–25)","MD, Volume ratio (VR)",SCI > MCI = MD increase in Severe Clinical Impairment (white matter areas),"Yes: 2 groups, Mild or Severe Clinical Impairment",none mentioned,no,
33998562,,White matter connectivity for early prediction of Alzheimer's disease,"Savarraj JPJ, Kitagawa R, Kim DH, Choi HA.",Technol Health Care. 2022;30(1):17-28. doi: 10.3233/THC-192012.,Savarraj JPJ,Technol Health Care,2022,5/17/21,,,10.3233/THC-192012,yes,dMRI,Single study,yes,yes,"Mild Cognitive Impairment, Alzheimers Disease",(Anterior) Cingulum Bundle,,,,,Yes: MCI-AD and MCI-control groups,,,Cannot accesss full article
28596117,,Disrupted white matter structural networks in healthy older adult APOE ε4 carriers - An international multicenter DTI study,"Cavedo E, Lista S, Rojkova K, Chiesa PA, Houot M, Brueggen K, Blautzik J, Bokde ALW, Dubois B, Barkhof F, Pouwels PJW, Teipel S, Hampel H; Alzheimer Precision Medicine Initiative (APMI).",Neuroscience. 2017 Aug 15;357:119-133. doi: 10.1016/j.neuroscience.2017.05.048. Epub 2017 Jun 6.,Cavedo E,Neuroscience,2017,6/10/17,,,10.1016/j.neuroscience.2017.05.048,yes,dMRI,Single study,yes,yes,Alzheimers Disease,"Cingulum, Corpus Callosum, Inferior Fronto-Occipital Fasciculus, Inferior Longitudinal Fasciculus, Internal Capsule, External Capsule, Corona Radiata, Corpus Callosum - Genu, Global","Chi-Square, Mann–Whitney U-test, linear regression, likelihood ratio test",Cannot accesss full article,"FA, MD, RD, AD","APOE ε4+ < APOE ε4- = FA decrease; APOE ε4+ > APOE ε4 = RD increase (cingulum, corpus callosum, inferior fronto-occipital inferior longitudinal fasciculi, internal capsule, external capsule); APOE ε4+ > APOE ε4 = MD increase (genu, right internal capsule, superior longitudinal fasciculus and corona radiata)",Yes: APOE ε4 gene positive group vs APOE ε4 gene negative group,Cannot accesss full article,,Cannot accesss full article
26801955,PMC5125444,The superficial white matter in Alzheimer's disease,"Phillips OR, Joshi SH, Piras F, Orfei MD, Iorio M, Narr KL, Shattuck DW, Caltagirone C, Spalletta G, Di Paola M.",Hum Brain Mapp. 2016 Apr;37(4):1321-34. doi: 10.1002/hbm.23105. Epub 2016 Jan 23.,Phillips OR,Hum Brain Mapp,2016,1/24/16,NIHMS809421,no,10.1002/hbm.23105,yes,dMRI,Single study,yes,yes,Alzheimers Disease,Global,"Chi-square, independent sample t-test, general linear model","FSL 4.1, brainsuite Diffusio pipeline (BDP),",,,,,no,
29992469,PMC6379138,White matter correlates of temporal discounting in older adults,"Han SD, Arfanakis K, Fleischman DA, Yu L, Bennett DA, Boyle PA.",Brain Struct Funct. 2018 nov;223(8):3653-3663. doi: 10.1007/s00429-018-1712-3. Epub 2018 Jul 10.,Han SD,Brain Struct Funct,2018,7/12/18,NIHMS1004812,no,10.1007/s00429-018-1712-3,yes,dMRI,Single study,yes,no,NA,Global,,,,,,,,Studies temporal discounting
33317422,PMC7748290,White Matter Integrity Predicts Electrical Stimulation (tDCS) and Language Therapy Effects in Primary Progressive Aphasia,"Zhao Y, Ficek B, Webster K, Frangakis C, Caffo B, Hillis AE, Faria A, Tsapkini K.",Neurorehabil Neural Repair. 2021 Jan;35(1):44-57. doi: 10.1177/1545968320971741.,Zhao Y,Neurorehabil Neural Repair,2021,12/15/20,NIHMS1638829,no,10.1177/1545968320971741,yes,dMRI,Single study,yes,yes,Primary Progressive Aphasia,"Superior Longitudinal Fasciculus, Inferior Fronto-Occipital Fasciculus, Uncinate Fasciculus","Relative scale model, multiple regression model",,,,,,no,
23741425,PMC3669206,Robust automated detection of microstructural white matter degeneration in Alzheimer's disease using machine learning classification of multicenter DTI data,"Dyrba M, Ewers M, Wegrzyn M, Kilimann I, Plant C, Oswald A, Meindl T, Pievani M, Bokde AL, Fellgiebel A, Filippi M, Hampel H, Klöppel S, Hauenstein K, Kirste T, Teipel SJ; EDSD study group.",PLoS One. 2013 May 31;8(5):e64925. doi: 10.1371/journal.pone.0064925. Print 2013.,Dyrba M,PLoS One,2013,6/7/13,,yes,10.1371/journal.pone.0064925,yes,dMRI,Single study,yes,yes,"Alzheimers Disease, phFTD","Corpus Callosum, Global","SVM, Naive Bayes Classifier",,,,,,no,
34526957,PMC8435601,Brain Network Integrity Changes in Subjective Cognitive Decline: A Possible Physiological Biomarker of Dementia,"Fogel H, Levy-Lamdan O, Zifman N, Hiller T, Efrati S, Suzin G, Hack DC, Dolev I, Tanne D.",Front Neurol. 2021 Aug 30;12:699014. doi: 10.3389/fneur.2021.699014. eCollection 2021.,Fogel H,Front Neurol,2021,9/16/21,,yes,10.3389/fneur.2021.699014,yes,dMRI,Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment","Corona Radiata, Corpus Callosum, Cingulum, Fornix, Superior Longitudinal Fasciculus, Superior Fronto-Occipital Fasciculus, Corpus Callosum - Genu, Corpus Callosum - Splenium",AnoVA group comparisons,"SPM12, Siemens DTI, Matlab",FA and MD,,"yes, healthy vs MCI vs SCD vs Alz",ICBM,no,
39703304,PMC11656998,Exploring Tractography: An Analysis of Brain Connectivity Patterns in Men,"Sharma B, Mittal A, Sharma R, Rai P, Aulakh KK.",Cureus. 2024 nov 19;16(11):e73991. doi: 10.7759/cureus.73991. eCollection 2024 nov.,Sharma B,Cureus,2024,12/20/24,,yes,10.7759/cureus.73991,yes,dMRI,Single study,yes,no,,"Inferior Fronto-Occipital Fasciculus, Superior Fronto-Occipital Fasciculus, Inferior Longitudinal Fasciculus, Superior Longitudinal Fasciculus, Cingulum, Corticospinal Tract, Forceps Major, Forceps Minor, Uncinate Fasciculus, Anterior Thalamic Radiation",N/A,N/A,N/A,,N/A,N/A,,
33867969,PMC8044349,White Matter Structural Network Analysis to Differentiate Alzheimer's Disease and Subcortical Ischemic Vascular Dementia,"Feng M, Zhang Y, Liu Y, Wu Z, Song Z, Ma M, Wang Y, Dai H.",Front Aging Neurosci. 2021 Mar 31;13:650377. doi: 10.3389/fnagi.2021.650377. eCollection 2021.,Feng M,Front Aging Neurosci,2021,4/19/21,,yes,10.3389/fnagi.2021.650377,yes,dMRI,Single study,yes,yes,Alzheimers Disease,Na,"Two sample t test ROC curves, Network Based Statistics","PANDA toolbox, BrainNet Viewer",FA,,yes,ALL,no,
33192454,PMC7662133,"Inflammation, Cognition, and White Matter in Older Adults: An Examination by Race","Boots EA, Castellanos KJ, Zhan L, Barnes LL, Tussing-Humphreys L, Deoni SCL, Lamar M.",Front Aging Neurosci. 2020 Oct 30;12:553998. doi: 10.3389/fnagi.2020.553998. eCollection 2020.,Boots EA,Front Aging Neurosci,2020,11/16/20,,yes,10.3389/fnagi.2020.553998,yes,dMRI,Single study,yes,no,,Na,N/A,N/A,N/A,,N/A,N/A,,
27047376,PMC4801877,Hippocampal Pathway Plasticity Is Associated with the Ability to Form novel Memories in Older Adults,"Antonenko D, Külzow N, Cesarz ME, Schindler K, Grittner U, Flöel A.",Front Aging Neurosci. 2016 Mar 22;8:61. doi: 10.3389/fnagi.2016.00061. eCollection 2016.,Antonenko D,Front Aging Neurosci,2016,4/6/16,,yes,10.3389/fnagi.2016.00061,yes,dMRI,Single study,yes,no,,Fornix,N/A,N/A,N/A,,N/A,N/A,,
30837858,PMC6390411,Diffusion MRI Indices and Their Relation to Cognitive Impairment in Brain Aging: The Updated Multi-protocol Approach in ADNI3,"Zavaliangos-Petropulu A, Nir TM, Thomopoulos SI, Reid RI, Bernstein MA, Borowski B, Jack CR Jr, Weiner MW, Jahanshad N, Thompson PM.",Front Neuroinform. 2019 Feb 19;13:2. doi: 10.3389/fninf.2019.00002. eCollection 2019.,Zavaliangos-Petropulu A,Front Neuroinform,2019,3/7/19,,yes,10.3389/fninf.2019.00002,yes,dMRI,Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment","Global, Fornix, Cingulum (Hippocampus), Uncinate Fasciculus, Corticospinal Tract, Cerebral Peduncle, Internal Capsule, Thalamic Radiation, Corona Radiata, Cingulate Cingulum, Superior Longitudinal Fasciculus, Superior Fronto-Occipital Fasciculus, Inferior Fronto-Occipital Fasciculus, External Capsule, Sagittal Stratum, Corpus Callosum - Genu, Corpus Callosum - Splenium, Corpus Callosum, Tapetum","pearson, ANCOVA, bonferroni threshold","ADNI2, ComBat Harmonization",FA/RD,,MCI vs control,JHU,no,
37457665,PMC10344700,The association of diffusion tensor MRI measures of normal appearing white matter and cognition,"Ng YL, Tan CS, Egle M, Gyanwali B, Tozer DJ, Markus HS, Chen C, Hilal S.",Cereb Circ Cogn Behav. 2023 Jul 5;5:100174. doi: 10.1016/j.cccb.2023.100174. eCollection 2023.,Ng YL,Cereb Circ Cogn Behav,2023,7/17/23,,yes,10.1016/j.cccb.2023.100174,yes,dMRI,Single study,yes,yes,"Mild Cognitive Impairment, Vascular Dementia",Global,"Pearson, logistic regression, Ratio of absolute mean differences, Bonferroni correction",FMRIB Diffusion Toolbox,FA/MD,,yes by catagories on left and control,FLAIR,no,
21760989,PMC3132541,"Joint assessment of structural, perfusion, and diffusion MRI in Alzheimer's disease and frontotemporal dementia","Zhang Y, Schuff N, Ching C, Tosun D, Zhan W, Nezamzadeh M, Rosen HJ, Kramer JH, Gorno-Tempini ML, Miller BL, Weiner MW.",Int J Alzheimers Dis. 2011;2011:546871. doi: 10.4061/2011/546871. Epub 2011 Jun 27.,Zhang Y,Int J Alzheimers Dis,2011,7/16/11,,yes,10.4061/2011/546871,yes,dMRI,Single study,yes,yes,"Alzheimers Disease, Frontal Temporal Dementia","Corpus Callosum, (Anterior) Cingulum Bundle, Anterior Corpus Callosum","GLM, T-test, permutation testing","SPM8, R",FA,,FTD - AD,MNI,no,
34408645,PMC8365836,White Matter Integrity Underlies the Physical-Cognitive Correlations in Subjective Cognitive Decline,"Wei YC, Hsu CH, Huang WY, Chen YL, Lin C, Chen CK, Lin C, Shyu YC, Lin CP.",Front Aging Neurosci. 2021 Aug 2;13:700764. doi: 10.3389/fnagi.2021.700764. eCollection 2021.,Wei YC,Front Aging Neurosci,2021,8/19/21,,yes,10.3389/fnagi.2021.700764,yes,"dMRI, MRI",Single study,yes,yes,Alzheimers Disease,"Corona Radiata, Thalamic Radiation, Optic Radiation, Corticospinal Tract, Internal Capsule, Superior Cerebellar Peduncle, Cingulum, Inferior Cerebellar Peduncle, External Capsule","Spearman, Pearson, False Discover Rate p-value",FSL,FA/MD,FA of PCR and SCR = closely related to physical activity index. MD of ICP and CST correlated with the MoCA score.,AD risk vs control,JHU ICBM,no,"studies subjective cognitive decline, not explicitly AD"
39479180,PMC11524148,Large-scale normative Modeling of Brain Microstructure,"Villalón-Reina JE, Zhu AH, Nir TM, Thomopoulos SI, Laltoo E, Kushan L, Bearden CE, Jahanshad N, Thompson PM.",2023 19th Int Symp Med Inf Process Anal SIPAIM (2023). 2023 nov;2023:10.1109/SIPAIM56729.2023.10373451. doi: 10.1109/SIPAIM56729.2023.10373451.,Villalón-Reina JE,2023 19th Int Symp Med Inf Process Anal SIPAIM (2023),2023,10/31/24,NIHMS2022016,no,10.1109/SIPAIM56729.2023.10373451,yes,"dMRI, MRI",Single study,yes,yes,"Alzheimers Disease, Parkinson Disease, Mild Cognitive Impairment","Corona Radiata, Hippocampal Cingulum, Cingulate Cingulum, Uncinate Fasciculus, Internal Capsule, External Capsule, Corpus Callosum - Genu, Sagittal Stratum, Fornix, Tapetum Of Corpus Callosum, Superior Longitudinal Fasciculus, Superior Fronto-Occipital Fasciculus, Corpus Callosum - Splenium, Thalamic Radiation, Corpus Callosum - Rostral Body","Hierarchical Bayesian Regression, AUC, Permutation testing, False Discover Rate","FSL, PCN toolkit, Python",FA/MD,"Alzd: Highest FA and MD in the CGH. MCI: Highest MD in BCC (no significant FA). PD: Highest FA in ALIC, highest MD in SFO",Control-AD-MCI-PD,JHU WM,no,Also compares to certain gene mutation groups
32425831,PMC7212692,Age-Related Changes of Peak Width Skeletonized Mean Diffusivity (PSMD) Across the Adult Lifespan: A Multi-Cohort Study,"Beaudet G, Tsuchida A, Petit L, Tzourio C, Caspers S, Schreiber J, Pausova Z, Patel Y, Paus T, Schmidt R, Pirpamer L, Sachdev PS, Brodaty H, Kochan N, Trollor J, Wen W, Armstrong NJ, Deary IJ, Bastin ME, Wardlaw JM, Munõz Maniega S, Witte AV, Villringer A, Duering M, Debette S, Mazoyer B.",Front Psychiatry. 2020 May 4;11:342. doi: 10.3389/fpsyt.2020.00342. eCollection 2020.,Beaudet G,Front Psychiatry,2020,5/20/20,,yes,10.3389/fpsyt.2020.00342,yes,"dMRI, DWI",Single study,yes,no,,Global,ANOVA,"FSL, FMRIB’s Diffusion Toolbox (FDT), JMP Pro software",MD/AD/RD/FA,"PSMD increases with age. AD/RD/MD exhibit a similar J-shape profile. FA, shows reverse profile to AD/RDMD",No = measures age-related changes of WM integrity across lifespan,MNI,no,
24367331,PMC3852215,Structural hippocampal network alterations during healthy aging: a multi-modal MRI study,"Pelletier A, Periot O, Dilharreguy B, Hiba B, Bordessoules M, Pérès K, Amieva H, Dartigues JF, Allard M, Catheline G.",Front Aging Neurosci. 2013 Dec 5;5:84. doi: 10.3389/fnagi.2013.00084. eCollection 2013.,Pelletier A,Front Aging Neurosci,2013,12/25/13,,yes,10.3389/fnagi.2013.00084,yes,"dMRI, MRI",Single study,yes,no,,"Fornix, Cingulum Bundle, Arcuate Fasciculus, Corticospinal Tract",Recursive regression,"FSL, VBM5 toolbox",FA,Greater age = reduced hippocampal volume and FA,"No, all healthy aging",MNI,no,healthy aging adults
36479018,PMC9720004,Associations between diffusion MRI microstructure and cerebrospinal fluid markers of Alzheimer's disease pathology and neurodegeneration along the Alzheimer's disease continuum,"Moody JF, Dean DC 3rd, Kecskemeti SR, Blennow K, Zetterberg H, Kollmorgen G, Suridjan I, Wild N, Carlsson CM, Johnson SC, Alexander AL, Bendlin BB.",Alzheimers Dement (Amst). 2022 Dec 4;14(1):e12381. doi: 10.1002/dad2.12381. eCollection 2022.,Moody JF,Alzheimers Dement (Amst),2022,12/8/22,,yes,10.1002/dad2.12381,yes,"dMRI, DWI, MRI",Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment","Superior Longitudinal Fasciculus, Cingulum, Corpus Callosum","GMLs. permutation testing, cohen's f^2, Threshold free cluster enhancement","Python, FMRIB Diffusion Toolbox",FA/MD/RD,"Highest diffusion measures in CING, CC, and SLF in AD. Lowest diffusion in brainstem and peripheral brain regions.",not explicitly but data hints at group differences,MNI,no,
25431558,PMC4230048,Fractional anisotropy of the fornix and hippocampal atrophy in Alzheimer's disease,Kantarci K.,Front Aging Neurosci. 2014 nov 13;6:316. doi: 10.3389/fnagi.2014.00316. eCollection 2014.,Kantarci K,Front Aging Neurosci,2014,11/29/14,,yes,10.3389/fnagi.2014.00316,yes,dMRI,Review,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment",Fornix,N/A,not directly reported,FA,"FA decreased in patients with MCI and AD, especially in the fornix",MCI vs AD vs control,MNI,no,
26413203,PMC4578317,AUTOMATED MULTI-ATLAS LABELING OF THE FORNIX AND ITS INTEGRITY IN ALZHEIMER'S DISEASE,"Jin Y, Shi Y, Zhan L, Thompson PM; Alzheimer’s Disease Neuroimaging Initiative (ADNI).",Proc IEEE Int Symp Biomed Imaging. 2015 Apr;2015:140-143. doi: 10.1109/ISBI.2015.7163835.,Jin Y,Proc IEEE Int Symp Biomed Imaging,2015,9/29/15,NIHMS675883,no,10.1109/ISBI.2015.7163835,yes,"dMRI, MRI",Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment",Fornix,"t-tests, Cohen's d effect size, Linear regression",Camino,FA/MD/AD/RD,"Median of mean FA decreases from the normal toward the AD group, while the median of mean MD increases.",AD vs MCI vs Control,Type II Eve Atlas,no,
38712293,PMC11071453,Microstructural Mapping of Neural Pathways in Alzheimer's Disease using Macrostructure-Informed normative Tractometry,"Feng Y, Chandio BQ, Villalon-Reina JE, Thomopoulos SI, Nir TM, Benavidez S, Laltoo E, Chattopadhyay T, Joshi H, Venkatasubramanian G, John JP, Jahanshad N, Reid RI, Jack CR, Weiner MW, Thompson PM; Alzheimers Disease Neuroimaging Initiative.",bioRxiv [Preprint]. 2024 Apr 28:2024.04.25.591183. doi: 10.1101/2024.04.25.591183.,Feng Y,bioRxiv,2024,5/7/24,,no,10.1101/2024.04.25.591183,yes,dMRI,Single study,yes,yes,"Mild Cognitive Impairment, Dementia","Global, Optic Radiation, Inferior Longitudinal Fasciculus, Uncinate Fasciculus, Arcuate Fasciculus, Corpus Callosum, Forceps Major Of Corpus Callosum","Linear regression, false discovery rate, spearman correlation, QQ plots","Python (PyTorch for MINT), FSL, ComBat",FA/MD/RD/AD/MINT Analysis,MD/RD/AD dementia and MCI > control participants. FA in dementia and MCI < control,Control-Dementia-MCI,MNI,no,
22545143,PMC3335803,Assessing corpus callosum changes in Alzheimer's disease: comparison between tract-based spatial statistics and atlas-based tractography,"Preti MG, Baglio F, Laganà MM, Griffanti L, Nemni R, Clerici M, Bozzali M, Baselli G.",PLoS One. 2012;7(4):e35856. doi: 10.1371/journal.pone.0035856. Epub 2012 Apr 24.,Preti MG,PLoS One,2012,5/1/12,,yes,10.1371/journal.pone.0035856,yes,dMRI,Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment",Corpus Callosum,"TBSS, ANOVA, Logistic RegressionVexelwise comparisons","FSL,SPM 5, SPSS, MATLAB",FA,"FA AD < FA HC in corpus callosum, FA AD < FA MCI in corpus callosum",AD vs MCI vs Control,MNI,no,
18593276,,Brain magnetic resonance imaging structural changes in a pedigree of asymptomatic progranulin mutation carriers,"Borroni B, Alberici A, Premi E, Archetti S, Garibotto V, Agosti C, Gasparotti R, Di Luca M, Perani D, Padovani A.",Rejuvenation Res. 2008 Jun;11(3):585-95. doi: 10.1089/rej.2007.0623.,Borroni B,Rejuvenation Res,2008,7/3/08,,,10.1089/rej.2007.0623,yes,dMRI,Single study,yes,yes,Frontal Temporal Dementia,"Uncinate Fasciculus, Inferior Occipitofrontal Fasciculus, Corpus Callosum - Genu",Voxelwise comparisons,Unknown,FA,reduced FA in healthy progranulin mutation carriers in left uncinate fasciculus,mutation vs control,Unknown,no,"Can't access full study, based off of abstract"
18246334,,Diffusion abnormalities of the uncinate fasciculus in Alzheimer's disease: diffusion tensor tract-specific analysis using a new method to measure the core of the tract,"Yasmin H, Nakata Y, Aoki S, Abe O, Sato N, Nemoto K, Arima K, Furuta N, Uno M, Hirai S, Masutani Y, Ohtomo K.",Neuroradiology. 2008 Apr;50(4):293-9. doi: 10.1007/s00234-007-0353-7. Epub 2008 Feb 2.,Yasmin H,Neuroradiology,2008,2/5/08,,,10.1111/jon.12178,yes,"dMRI, DTT",Single study,yes,yes,Alzheimers Disease,Uncinate Fasciculus,"t-test, fisher's test","dTV, Volume One, R",FA/MD,FA in UF with AD < FA in UF controls,AD vs Control,Population-specific template,no,
26836182,PMC4760877,Cerebrospinal Fluid Markers of Alzheimer's Disease Pathology and Microglial Activation are Associated with Altered White Matter Microstructure in Asymptomatic Adults at Risk for Alzheimer's Disease,"Melah KE, Lu SY, Hoscheidt SM, Alexander AL, Adluru N, Destiche DJ, Carlsson CM, Zetterberg H, Blennow K, Okonkwo OC, Gleason CE, Dowling NM, Bratzke LC, Rowley HA, Sager MA, Asthana S, Johnson SC, Bendlin BB.",J Alzheimers Dis. 2016;50(3):873-86. doi: 10.3233/JAD-150897.,Melah KE,J Alzheimers Dis,2016,2/3/16,NIHMS741177,no,10.3233/JAD-150897,yes,"dMRI, MRI",Single study,yes,no,,"Global, Corona Radiata, Internal Capsule, External Capsule, Cerebral Peduncle",Regression,FSL,FA/MD,Participants with lower CSF had higher MD and higher FA,No = all AD risk healthy population,Population-specific template,no,AD risk healthy population
23347602,,Correlations between microstructural alterations and severity of cognitive deficiency in Alzheimer's disease and mild cognitive impairment: a diffusional kurtosis imaging study,"Gong NJ, Wong CS, Chan CC, Leung LM, Chu YC.",Magn Reson Imaging. 2013 Jun;31(5):688-94. doi: 10.1016/j.mri.2012.10.027. Epub 2013 Jan 22.,Gong NJ,Magn Reson Imaging,2013,1/26/13,,,10.1016/j.mri.2012.10.027,yes,"dMRI, DKI",Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment",Na,"Mann-Whitney test, pearson correlation, bonferroni correction","FSL, MATLAB",FA/AD/AK/RD/RK/MD/MK,AD: increased diffusivity and decreased kurtosis in the GM/WM of the parietal/occipital lobes + decreased FA (compared to MCI),AD vs MCI,native-space DKI map,no,
25491469,,The Uncinate Fasciculus as a Predictor of Conversion from Amnestic Mild Cognitive Impairment to Alzheimer Disease,"Hiyoshi-Taniguchi K, Oishi N, Namiki C, Miyata J, Murai T, Cichocki A, Fukuyama H.",J Neuroimaging. 2015 Sep-Oct;25(5):748-53. doi: 10.1111/jon.12196. Epub 2014 Dec 10.,Hiyoshi-Taniguchi K,J Neuroimaging,2015,12/11/14,,,10.1111/jon.12196,yes,dMRI,Single study,yes,yes,"Alzheimers Disease, Mild Cognitive Impairment",Uncinate Fasciculus,"t-test, Pearson Correlation, ANOVA","FSL, DTIstudio",FA,FA in right UF for AD group < FA in right UF for MCI group,"MCI vs AD, which MCI progress to AD",Population-specific template,no,"Longitudinal, can't access full study"
22685067,,Relationship between apathy and diffusion tensor imaging metrics of the brain in Alzheimer's disease,"Ota M, Sato N, Nakata Y, Arima K, Uno M.",Int J Geriatr Psychiatry. 2012 Jul;27(7):722-6. doi: 10.1002/gps.2779. Epub 2011 Aug 24.,Ota M,Int J Geriatr Psychiatry,2012,6/12/12,,,10.1002/gps.2779,yes,dMRI,Single study,yes,yes,Alzheimers Disease,Cingulate Cingulum,"Voxel based parametric mapping, ANCOVA, Spearman's correlation test","SPM5 software, MATLAB",FA,"Lower FA in anterior cingulate and medial thalamus in AD, associated with apathy",All AD,MNI,no,
20164559,,Diagnostic utility of novel MRI-based biomarkers for Alzheimer's disease: diffusion tensor imaging and deformation-based morphometry,"Friese U, Meindl T, Herpertz SC, Reiser MF, Hampel H, Teipel SJ.",J Alzheimers Dis. 2010;20(2):477-90. doi: 10.3233/JAD-2010-1386.,Friese U,J Alzheimers Dis,2010,2/19/10,,,10.3233/JAD-2010-1386,yes,dMRI,Single study,yes,yes,Alzheimers Disease,"Corpus Callosum, Cingulate Cingulum, Parahippocampal Cingulum, Global","MANCOVA, Chi-square","FSL, MATLAB",FA/MD,Lower FA and higher MD in AD vs controls overall,AD vs Control,MNI,no,
